system:index,scene_id,.geo
0,LE71710602000089SGS00,
1,LE71710602000137SGS00,
2,LE71710602000217EDC00,
3,LE71710602000281SGS00,
4,LE71710602000297SGS00,
5,LE71710602000313EDC00,
6,LE71710602000329EDC00,
7,LE71710602001027SGS00,
8,LE71710602001107SGS01,
9,LE71710602001171EDC00,
10,LE71710602001187SGS00,
11,LE71710602001219SGS00,
12,LE71710602001251SGS00,
13,LE71710602001331SGS00,
14,LE71710602002014SGS00,
15,LE71710602002030SGS00,
16,LE71710602002078SGS00,
17,LE71710602002094SGS00,
18,LE71710602002158SGS00,
19,LE71710602002174SGS00,
20,LE71710602002190SGS00,
21,LE71710602002222SGS00,
22,LE71710602002238SGS00,
23,LE71710602002270SGS00,
24,LE71710602002286SGS00,
25,LE71710602002334SGS04,
26,LE71710602003017SGS00,
27,LE71710602003033SGS00,
28,LE71710602003049SGS00,
29,LE71710602003145ASN00,
30,LE71710602003209EDC01,
31,LE71710602003273EDC01,
32,LE71710602003289ASN02,
33,LE71710602003321EDC03,
34,LE71710602003337SGS01,
35,LE71710602003353ASN01,
36,LE71710602004004ASN01,
37,LE71710602004020EDC03,
38,LE71710602004084ASN01,
39,LE71710602004100EDC02,
40,LE71710602004132ASN01,
41,LE71710602004148ASN02,
42,LE71710602004180EDC01,
43,LE71710602004196EDC01,
44,LE71710602004244EDC02,
45,LE71710602004260ASN01,
46,LE71710602004292ASN00,
47,LE71710602004324ASN00,
48,LE71710602004340ASN00,
49,LE71710602005006ASN01,
50,LE71710602005022ASN00,
51,LE71710602005038ASN00,
52,LE71710602005054ASN00,
53,LE71710602005070ASN00,
54,LE71710602005086ASN00,
55,LE71710602005166ASN00,
56,LE71710602005214ASN00,
57,LE71710602005230ASN00,
58,LE71710602005246EDC00,
59,LE71710602005262EDC00,
60,LE71710602005294ASN00,
61,LE71710602005326ASN00,
62,LE71710602005358ASN00,
63,LE71710602006009ASN01,
64,LE71710602006025ASN00,
65,LE71710602006041ASN00,
66,LE71710602006057ASN00,
67,LE71710602006105ASN00,
68,LE71710602006233ASN00,
69,LE71710602006249ASN00,
70,LE71710602006265EDC00,
71,LE71710602006281ASN00,
72,LE71710602006313ASN00,
73,LE71710602006345ASN00,
74,LE71710602006361ASN00,
75,LE71710602007012ASN00,
76,LE71710602007028ASN00,
77,LE71710602007092ASN01,
78,LE71710602007124ASN00,
79,LE71710602007140ASN00,
80,LE71710602007236EDC00,
81,LE71710602007252ASN00,
82,LE71710602007268ASN00,
83,LE71710602007284ASN00,
84,LE71710602007300ASN00,
85,LE71710602007316ASN00,
86,LE71710602007332ASN00,
87,LE71710602007348ASN00,
88,LE71710602007364ASN00,
89,LE71710602008047ASN00,
90,LE71710602008063ASN00,
91,LE71710602008079ASN00,
